name,age,city,branch,marks
Aarav,20,Amritsar,BCA,85
Priya,21,Jalandhar,BCA,92
Rahul,22,Amritsar,BSc-IT,78
Meera,20,Ludhiana,BCA,88
Sanjana,21,Amritsar,BCA,91
Vikram,23,Jalandhar,BSc-IT,75
Anjali,20,Amritsar,BCA,89
Karan,22,Ludhiana,BCA,82
Ishita,21,Amritsar,BCA,94
Manpreet,19,Jalandhar,BCA,80
Simran,20,Amritsar,BCA,90
Arjun,23,Ludhiana,BSc-IT,73
Neha,21,Jalandhar,BCA,86
Gurpreet,20,Amritsar,BSc-IT,79
Ravneet,21,Ludhiana,BCA,88
Aman,19,Amritsar,BCA,83
Kavya,20,Jalandhar,BCA,92
Harpreet,23,Ludhiana,BSc-IT,76
Nisha,21,Amritsar,BCA,85
Jasleen,20,Amritsar,BCA,95
Rohit,23,Jalandhar,BSc-IT,72
Tanvi,21,Ludhiana,BCA,89
Deepak,20,Amritsar,BCA,81
Amrita,19,Jalandhar,BCA,90
Sahil,21,Ludhiana,BCA,84
Pooja,20,Amritsar,BCA,93
Navjot,21,Jalandhar,BSc-IT,80
Ekam,20,Ludhiana,BCA,82
